Aims,itr
journal numerical algorithms devoted numerical algorithms publishes original review papers aspects numerical algorithms new algorithms theoretical results implementation numerical stability complexity parallel computing subroutines applications papers computer algebra related obtaining numerical results considered intended publish high quality papers containing material published,292
bulletin materials science bi monthly journal published indian academy sciences collaboration materials research society india indian national science academy journal publishes original research articles review articles rapid communications areas materials science journal publishes time time important conference symposia proceedings materials scientists international advisory editorial board editorial committee bulletin accords high importance quality articles published minimum processing time papers submitted publication,297
current medical science provides forum peer reviewed papers medical sciences promote academic exchange chinese researchers doctors foreign counterparts journal covers subjects biomedicine physiology biochemistry molecular biology pharmacology pathology pathophysiology clinical research surgery internal medicine obstetrics gynecology pediatrics otorhinolaryngology articles appearing current medical science mainly english small number papers german pay tribute german founder journal medical periodical western languages sponsored educational institution located central china,309
science china information sciences academic journal cosponsored chinese academy sciences national natural science foundation china published science china press committed publishing high quality original results basic applied research science china information sciences published print electronic forms indexed science citation index categories articles reviews summarize representative results achievements particular topic area comment current state research advise research directions author opinion related discussion requested research papers report important original results areas information sciences brief reports present short reports timely manner latest important results,312
journal molecular modeling publishes quality science passes peer review falls scope journal number manuscripts submitted journal high rejection rate following guidelines provided help assess work computer aided drug designcomputer aided molecular design rational drug design novo ligand design receptor modeling docking molecular dynamics simulations used drug design manuscripts report new methodology welcome report new techniques validation studies use commercially available techniques web services publically available datasets discouraged different conformations target multiple crystal structures generated using md simulation ns used generate consensus poses docking studies docked poses proved stable using md simulations ns post facto experimental validation life science modelinghomology modelingo homology models welcome validated adequate md simulations simulation proteins dna carbohydrates biopolymerso manuscripts provide mechanistic insights offer novel interpretation experimental data welcome molecular dynamics simulations run ns triplicate correspondingly longer single simulations sampling convergence demonstrated modeling biological reaction mechanismso modeling studies biological reaction mechanisms welcome combined experimental computational studies calculations play major roleo manuscripts place main emphasis calculations use provide information available experiment welcome materials modelingclassical quantum mechanical modeling materials mechanical physical properties studies proposed new compounds clearly demonstrate document rational basis investigating welcome standard applications hypothetical systems practical relevance considered modeling zeolites layered minerals modeling catalytic reaction mechanisms computational catalysis optimizationd polymer modelingnanomaterials fullerenes nanotubeso state art work nanomaterials goes applications standard methodology welcome new methodsnew classical quantum mechanical techniques parameter sets including ab initio dft semiempirical mo methods basis sets new hybrid qm mm techniquesnew visualization techniques molecular modelingnew methods modeling biopolymersnew software new versions existing softwarenew techniques simulating environments solventcomputational chemistryclassical quantum mechanical modeling chemical structures reactionso studies modeling community report significant new results high chemical welcome standard studies reproduce experimental data considered molecular recognition sensors taking conformational sampling account conceptual computational developments chemical structure reactionsplease hesitate contact editorial office doubt work falls scope journal,321
designs codes cryptography archival peer reviewed technical journal publishing original research papers designated areas great deal activity design theory coding theory cryptography including substantial research brings subjects journals exist individual areas encourage interaction disciplines journal founded meet needs mathematicians engineers computer scientists working areas interests extend bounds individual disciplines journal provides forum high quality research areas papers touching areas especially welcome journal considers high quality submissions closely related areas finite fields finite geometries provide important tools construction actual application designs codes cryptographic systems particular includes theoretical papers computational aspects finite fields considers topics sequence design frequently admit equivalent formulations journal main areas designs codes cryptography mathematically oriented emphasizing algebraic geometric aspects areas covers journal considers high quality papers theoretical practical nature provided contain substantial mathematics journal published times year distribution mathematicians engineers computer scientists education industry government appeals mathematicians seeing deep theoretical results discrete mathematics applied engineers appreciate beauty usefulness discrete mathematics computer scientists interested data security complexity issues reliable data transmission storage journal maintains strict refereeing procedures paper previously published journal transactions book considered journal publishes survey articles invitation submissions extending previously published conference papers considered provide significant contribution conference paper overlap described clearly beginning journal submission,320
objective journal combinatorial optimization advance promote theory applications combinatorial optimization area research intersection applied mathematics computer science operations research overlaps areas computation complexity computational biology vlsi design communication networks management science includes complexity analysis algorithm design combinatorial optimization problems numerical experiments problem discovery applications science engineering journal combinatorial optimization publishes refereed papers dealing theoretical computational applied aspects combinatorial optimization publishes reviews appropriate books special issues journals,319
science china life sciences academic journal cosponsored chinese academy sciences national natural science foundation china published science china press committed publishing high quality original results basic applied life science research covers wide range topics field life sciences including biology medicine agriculture ecology publishes authoritative reviews high quality original research papers insight letter editor highlight news views,327
science china materials scms international peer reviewed journal covers aspects materials science journal supervised chinese academy sciences sponsored chinese academy sciences national natural science foundation china jointly published monthly printed electronic forms science china press springer mission science china materials encourage communication high quality innovative research results cutting edge interface materials science chemistry physics biology engineering especially focusing breakthroughs chinese scientists aimed world leading academic journal materials science categories contribution published journal include articles peer reviewed depth reports outstanding novel findings important general implications specialists working fields letters present short reports timely manner latest important novel research studies findings reviews summarize representative results achievements particular topic area comment current research progress advice future research directions based closely related author research work perspectives concise reports recent exciting research materials scientists worldwide including discussions research breakthroughs interpretations important science funding policies concepts conceptual advances new materials focusing innovative ideas structure design synthesis approaches inspire future research directions breakthroughs highlights discuss important new results original research general given person view instruct highlight significance contributions sections usually written invitation authors welcome submit unsolicited articles manuscripts english accepted general editorial inquiries correspondence addressed editor materials scichina org,328
nuclear science techniques nst reports scientific findings technical advances important results fields nuclear science techniques aim periodical stimulate cross fertilization knowledge scientists engineers working fields nuclear research scope covers following subjects synchrotron radiation applications beamline technology accelerator ray technology applications nuclear chemistry radiochemistry radiopharmaceuticals nuclear medicine nuclear electronics instrumentation nuclear physics interdisciplinary research nuclear energy science engineering,331
journal electrical engineering following long tradition archiv elektrotechnik publishes original papers archival value electrical engineering strong focus electric power systems smart grid approaches power transmission distribution power planning operation control electricity markets renewable power generation microgrids power electronics electrical machines drives electric vehicles railway electrification systems electric transportation infrastructures energy storage electric power systems vehicles high voltage engineering electromagnetic transients power networks lightning protection electrical safety electrical insulation systems apparatus devices components manuscripts describing theoretical computer application experimental research results welcomed electrical engineering archiv elektrotechnik published agreement verband der elektrotechnik elektronik informationstechnik ev vde,350
aims international journal thermophysics serve international medium publication peer reviewed papers thermophysics publish experimental theoretical computational papers field thermophysics study equilibrium transport properties systems gas liquid solid state transformation states non equilibrium conditions systems include soft matter biofluids nanofluids nano bio materials layers films wide range variables temperature pressure composition wavelength relevant variables fields generated variables publish methods oriented papers instrumentation measurement techniques thermophysics including densimetry calorimetry viscometry thermal conductivity diffusivity photoacoustic photothermal techniques light scattering assist generators users thermophysical property data aiming understanding property function relationships cover diverse range topics thermodynamic properties including behavior phase equilibria heat capacity enthalpy thermal expansion sound speed critical phenomena transport properties including viscosity thermal electrical conductivity mass diffusivity thermal diffusivity effusivity non newtonian behavior thermal thermoacoustic diffusionphenomena optical thermal radiative properties including dielectric constant refractive index emissivity reflectivity transmissivity absorptivity interfacial properties including solid solid solid fluid fluid fluid interfaces surface tension interfacial profiles interfacial transport wetting data correlation models including data evaluation prediction equations state standard reference data databases thermophysical property information systems simulation studies model related systems nonequilibrium thermodynamics including nucleation phenomena fluctuations metastability mesoscopic systems micro heterogeneous systems reactions metrology thermophysics including development measurement techniques calibration standards measurements fundamental constants uncertainty assessments established emerging areas thermophysics applications including limited imaging biothermophysics nanoscale thermophysical properties processes instrumentation systems cross disciplinary topics thermophysics photonics ultrasound electromagnetic fields metamaterials applications experiments contribute development non equilibrium theories vice versa new theories predict effects subsequently verified particularly welcome papers accepted publication international journal thermophysics represent significant contributions field thermophysics comprehensive review papers sub field thermophysics encouraged papers emphasizing experimental results results context existing related literature generally explicit comparisons previous results expected comparisons physically based models encouraged experimental results need accompanied mathematical modeling simple curve fitting data discouraged facilitate comparisons literature data uncertainty analysis authors express data mixtures manner physical meaning befits thermophysics journal papers simply apply existing mathematical techniques model systems involved heat mass transfer thermoelasticity appropriate unless contribute directly significant advance understanding aspects thermophysics advance state art measurements field thermophysics papers providing new mathematical theoretical models indicate improve existing models contribute understanding phenomenon thermophysics maintain improve demonstrate reliability quality experimental thermophysical thermochemical property data published international journal thermophysics collaborating journals thermodynamics research center trc national institute standards technology nist developed capture raw experimental data standard format evaluate data detection inconsistencies caused typographical errors misidentification components incomplete property sample purity specification compare reported experimental data existing literature identify unexpectedly large discrepancies provide list relevant literature sources experimental data check ensure reported uncertainties consistent established rigorous standard definitions formats include data xml based thermo ml iupac standard files database posted internet free public access link data files relevant articles published journal process described editorials published journal int thermophys implemented appropriate experimental papers published journal,359
mathematical notes journal publishes research papers review articles modern algebra geometry number theory functional analysis logic set measure theory topology probability stochastics differential noncommutative geometry operator group theory asymptotic approximation methods mathematical finance linear nonlinear equations ergodic spectral theory operator algebras related theoretical fields presents rigorous results mathematical physics,364
aims international journal thermophysics serve international medium publication peer reviewed papers thermophysics publish experimental theoretical computational papers field thermophysics study equilibrium transport properties systems gas liquid solid state transformation states non equilibrium conditions systems include soft matter biofluids nanofluids nano bio materials layers films wide range variables temperature pressure composition wavelength relevant variables fields generated variables publish methods oriented papers instrumentation measurement techniques thermophysics including densimetry calorimetry viscometry thermal conductivity diffusivity photoacoustic photothermal techniques light scattering assist generators users thermophysical property data aiming understanding property function relationships cover diverse range topics thermodynamic properties including behavior phase equilibria heat capacity enthalpy thermal expansion sound speed critical phenomena transport properties including viscosity thermal electrical conductivity mass diffusivity thermal diffusivity effusivity non newtonian behavior thermal thermoacoustic diffusionphenomena optical thermal radiative properties including dielectric constant refractive index emissivity reflectivity transmissivity absorptivity interfacial properties including solid solid solid fluid fluid fluid interfaces surface tension interfacial profiles interfacial transport wetting data correlation models including data evaluation prediction equations state standard reference data databases thermophysical property information systems simulation studies model related systems nonequilibrium thermodynamics including nucleation phenomena fluctuations metastability mesoscopic systems micro heterogeneous systems reactions metrology thermophysics including development measurement techniques calibration standards measurements fundamental constants uncertainty assessments established emerging areas thermophysics applications including limited imaging biothermophysics nanoscale thermophysical properties processes instrumentation systems cross disciplinary topics thermophysics photonics ultrasound electromagnetic fields metamaterials applications experiments contribute development non equilibrium theories vice versa new theories predict effects subsequently verified particularly welcome papers accepted publication international journal thermophysics represent significant contributions field thermophysics comprehensive review papers sub field thermophysics encouraged papers emphasizing experimental results results context existing related literature generally explicit comparisons previous results expected comparisons physically based models encouraged experimental results need accompanied mathematical modeling simple curve fitting data discouraged facilitate comparisons literature data uncertainty analysis authors express data mixtures manner physical meaning befits thermophysics journal papers simply apply existing mathematical techniques model systems involved heat mass transfer thermoelasticity appropriate unless contribute directly significant advance understanding aspects thermophysics advance state art measurements field thermophysics papers providing new mathematical theoretical models indicate improve existing models contribute understanding phenomenon thermophysics maintain improve demonstrate reliability quality experimental thermophysical thermochemical property data published international journal thermophysics collaborating journals thermodynamics research center trc national institute standards technology nist developed capture raw experimental data standard format evaluate data detection inconsistencies caused typographical errors misidentification components incomplete property sample purity specification compare reported experimental data existing literature identify unexpectedly large discrepancies provide list relevant literature sources experimental data check ensure reported uncertainties consistent established rigorous standard definitions formats include data xml based thermo ml iupac standard files database posted internet free public access link data files relevant articles published journal process described editorials published journal int thermophys implemented appropriate experimental papers published journal,368
cybernetics concerned describing complex interactions interrelationships systems omnipresent daily life machine learning discovers fundamental functional relationships variables ensembles variables systems merging disciplines machine learning cybernetics aimed discovery various forms interaction systems diverse mechanisms learning data international journal machine learning cybernetics ijmlc focuses key research problems emerging junction machine learning cybernetics serves broad forum rapid dissemination latest advancements area emphasis ijmlc hybrid development machine learning cybernetics schemes inspired different contributing disciplines engineering mathematics cognitive sciences applications new ideas design alternatives implementations case studies pertaining aspects machine learning cybernetics fall scope ijmlc key research areas covered journal include machine learning modeling interactions systemspattern recognition technology support discovery environment interactioncontrol environment interactionsbiochemical interaction biological biologically inspired systemslearning improvement communication schemes systems,369
journal materials engineering performance jmep strives publish articles assist solving day day engineering challenges especially involving components larger systems covers aspects materials selection design processing characterization evaluation including improve materials properties processes process control casting forming heat treating surface modification coating fabrication testing characterization including mechanical physical tests nde metallography failure analysis corrosion resistance chemical analysis surface characterization microanalysis surfaces features fractures industrial performance measurementpresents clear understanding relationships materials selection processing applications performancethe journal materials engineering performance publishes contributions aspects materials selection design processing characterization evaluation scope includes materials used engineering applications typically result components larger systems relationships material type secondary processing component performance emphasized improvement materials properties processes casting forming heat treating surface modification coating fabrication control processes presented testing characterization demonstrated mechanical physical tests nde metallography failure analysis corrosion resistance chemical analysis surface characterization microanalysis surfaces features fractures,382
multimedia tools applications publishes original research articles multimedia development support tools case studies multimedia applications experimental survey articles appropriate journal journal intended academics practitioners scientists engineers involved multimedia research design applications papers peer reviewed specific areas include limited multimedia tools multimedia application enabling software software support multimedia hypermedia performance measurement tools multimedia multimedia authoring tools hardware support multimedia multimedia databases retrieval web tools applicationsmultimedia applications prototype multimedia systems platforms multimedia information superhighways home video demand interactive tv home shopping remote home care electronic album personalized electronic journals education training computer aided instruction distance interactive training multimedia encyclopedias interactive training web operations command control process control cad cam air traffic control line monitoring multimedia security systems public digital libraries electronic museum networked kiosk systems medical legal banking shopping tourist business office executive information systems remote consulting systems video conferencing multimedia mail multimedia documents advertising collaborative work electronic publishing visual information systems,383
applied physics founded leading international peer reviewed journals area experimental theoretical investigations applied research materials science appears monthly issues varying size applied physics publishes regular articles rapid communications invited papers new results focusing condensed phase including nanostructured materials applications addition surfaces films papers advanced processing characterization techniques readers journal high print quality ensures excellent reproduction photographs obtained fields scanning probe microscopy instructions authors http springer com click submission guidelinesapplied physics materials science processing offers fast publication schedule whilst maintaining rigorous peer review articles submitted online peer review managed fully electronically articles distributed pdf form automatically generated submitted files articles published final citation acceptance fully browsable web form formatted pdf extensive reference linking provided crossref services table contents abstracts accessible free charge text references reference linking accessible subscribers,392
journal scope ranges mathematical foundations field algorithm software development benchmark examples case studies practical applications structural aero space mechanical civil chemical naval bio engineering fields computer aided design manufacturing uncertainty quantification artificial intelligence identification modeling inverse processes computer simulation bio mechanics bio medical applications nano technology mems optics chemical processes computational biology meta modeling doe active control structures covered topic closely related optimization structures fluids structural multidisciplinary optimization publishes original research papers review articles industrial applications brief notes educational articles book reviews conference diary forum section discussions papers authors replies obituaries announcements society news journal consider papers directly related weapon military applications,400
inorganic materials applied research contains translations research articles devoted applied aspects inorganic materials best articles selected russian periodicals materialovedenie perspektivnye materialy fizika khimiya obrabotki materialov voprosy materialovedeniya translated english journal reports recent achievements materials science physical chemical bases materials science effects synergism composite materials computer simulations creation new materials including carbon based materials ceramics semiconductors superconductors composite materials polymers materials nuclear engineering materials aircraft space engineering materials quantum electronics materials electronics optoelectronics materials nuclear thermonuclear power engineering radiation hardened materials materials use medicine analytical techniques structure property relationships nanostructures nanotechnologies advanced technologies use hydrogen structural materials economic environmental issues journal considers engineering issues materials processing plasma high gradient crystallization laser technology ultrasonic technology currently journal accept direct submissions submissions source journals possible,404
lobachevskii journal mathematics international peer reviewed journal published collaboration russian academy sciences kazan federal university journal covers mathematical topics associated famous russian mathematician nikolai lobachevsky lobachevskii journal publishes research articles geometry topology algebra complex analysis functional analysis probability theory mathematical statistics optimal control theory algorithms mechanics applied mathematics journal welcomes manuscripts countries english russian language,395
journal american society mass spectrometry devoted mainly publication research papers covering aspects mass spectrometry papers fields scientific inquiry mass spectrometry play role considered fields include chemistry physics geology environmental science biological health life sciences contributions published journal intended comprehensive aim publish papers fundamentals applications mass spectrometry fundamental subjects include restricted instrumentation principles design demonstration structures chemical properties gas phase ions studies thermodynamic properties ion spectroscopy chemical kinetics mechanisms ionization theory ion fragmentation cluster ions potential energy surfaces modeling papers report application principal focus use mass spectrometry solve qualitative quantitative problem application subjects include limited structural elucidation biopolymer sequencing development validation new methodology proteomics environmental forensic measurements papers describing computer applications considered details compilations programs published fundamental applications papers report new mass spectrometry science report routine application likely better suited journal specializing subject application example paper describing application mass spectrometry structure determination set natural products appropriate natural products organic chemistry journalin addition papers journal publish critical insights communications comment reply application notes accounts perspectives aims critical insights highlight topics current thought provoking way provide insider information difficult publish regular articles provoke response debate critical insights usually invited associate editor section suggestions contributions section sent associate editor communications brief descriptions printed pages new significant research purposes include establishing priority new area announcing important discovery development inter alia communications contain experimental theoretical justification ideas presented usually expected communication followed paper short papers contain commentary articles published jasms case authors article discussed invited reply papers published comment reply application notes printed pages brief descriptions technical advances sample handling instrumentation data processing interpretation spectra segment mass spectrometry community accounts perspectives summaries body research reasonably completed general conclusions drawn subject matter significant field mass spectrometry articles feature work single author team researchers focus recent results timely subject bring perspective historically important developments category include articles research philosophy identify areas need emphasis represent new directions account perspectives typically invited editor proposals submitted advance preparing article length accounts perspectives negotiated editor american society mass spectrometry asms formed promote disseminate knowledge mass spectrometry allied topics membership includes scientists involved research development members come academic industrial governmental laboratories interests include advancement techniques instrumentation mass spectrometry fundamental research chemistry geology forensics biological sciences physics http www asms org,415
aims scopethe journal intelligent robotic systems jint publishes peer reviewed original invited survey review papers papers promote disseminate scientific knowledge information fields theory control systems distributed systems bioengineering robotics automation human robot interaction human machine interfaces interaction robot ethics social service robotics medical robotics mechatronics unmanned systems multi robot teams networked swarms machine intelligence learning autonomy cyber physical systems related areas cutting edge technologies developed applied model design build test complex engineering autonomous systems major focus jint autonomy levels autonomy metrics measure autonomy integral ingredients designing building high confidence systems jint peer reviewed journal putting emphasis intelligence intelligent behavior desirable attributes design subsequently leads semi fully autonomous systems operate dynamic uncertain environments coupled quest autonomy autonomous operation unmanned systems taken center stage research development jint welcomes archive original papers design autonomy efficient human machine interfaces reduce operator workload recognizing importance unmanned systems unmanned vehicle systems uvs civilian public domain military applications jint includes special section issue devoted unmanned systems focus classes aerial ground sea surface underwater vehicles share common characteristic absence board human vehicle operator unmanned systems seen unprecedented levels growth years expected dominate future applications diverse domains jint forefront reporting scientific breakthroughs highly expanding challenging area specific purpose special section unmanned systems goes traditional navigation control challenges aiming offering opportunities publish original research avoid sense detect avoid systems robust resilient fault tolerant control systems prognostics diagnostics autonomy manned unmanned swarms multi robot teams formation control network controlled systems manned unmanned aviation integration unmanned aviation national airspace futuristic designs topics focusing unmanned aviation unmanned aircraft systems uass jint offers unique forum advantage second encourages original contributions referring related unmanned aviation airworthiness unmanned aviation policies procedures regulations certification issues operational constraints uas safety security risk analysis assessment uas reliability operational frequency management legal ethical privacy issues technology standardization topics paramount importance serve prerequisites timely orderly integration unmanned aircraft systems uass national airspace jint covers technical spectrum conceptual level potential product development publishes original archival peer reviewed contributions initial idea theory simulation validation verification experimentation prototyping testing implementation refinement final product development commercialization provides unique forum bridges gaps diverse disciplines theory mathematics computer science artificial intelligence engineering extending matured field soft computing field computational intelligence cognitive sciences necessary components modern intelligent systems robotics unmanned vehicle systems mechatronics modern manufacturing jint provides unique medium present discuss future directions advanced control technology applications intelligent autonomous systems computational intelligence computational methods design handling incorporating uncertainty design control novel cutting edge technologies applied complex systems including mechatronic systems unmanned vehicle systems jint lays foundation common framework publication ideas derivation testing techniques combine theory science engineering mathematics leading future innovations novel technologies theoretical papers focusing intelligent systems engineering distributed intelligence systems multi level systems intelligent control multi robot systems control cooperation coordination unmanned vehicle systems biologically inspired robotics swarms outlining new concepts approaches related fields equally welcome application emphasis given autonomous systems industrial robotic systems multi robot systems aerial vehicles mobile robot platforms sea surface vehicles underwater robots sensors sensor fusion sensor based control focusing sensory control problems papers real applications intelligent robotic systems mechatronics manufacturing systems biomedical systems underwater humanoid mobile legged robot space applications welcome journal aims bridging gap theory practice intends stimulate interaction faculty researchers engineers practitioners academia industry government focusing theoretical applied research areas intelligent systems robotics,418
quantum information processing high impact international journal publishing cutting edge experimental theoretical research areas quantum information science topics include quantum cryptography communications entanglement discord quantum algorithms quantum error correction fault tolerance quantum computer science quantum imaging sensing experimental platforms quantum information quantum information processing supports inspires research providing comprehensive peer review process broadcasting high quality results range formats include original papers letters broadly focused perspectives comprehensive review articles book reviews special topical issues journal particularly interested papers detailing demonstrating quantum information protocols cryptography communications computation sensing,426
international journal advanced manufacturing technology bridges gap pure research journals practical publications advanced manufacturing systems provides outstanding forum papers covering applications based research topics relevant manufacturing processes machines process integration published papers continue high standard excellence ensured subjecting paper strict assessment procedure members international editorial advisory board objective firmly establish papers submitted meet requirements especially context proven applications based research work acceptable papers theoretical content papers demonstrate manufacturing applications journal covers range advanced manufacturing technology including machining forming technology non traditional material removal processes machine tools technology materials joining laser technology applications micro nano fabrication robotics mechatronics manufacturing automation precision engineering inspection measurement metrology sustainable green manufacturing additive manufacturing computer integrated manufacturing systems application evolutionary computing techniques manufacturing operations manufacturing planning optimization simulation smart manufacturing virtual manufacturing,432
automation remote control journals control theory scope journal control theory problems applications journal publishes reviews original articles short communications deterministic stochastic adaptive robust formulations applications computer control components instruments process control social economy control,437
international journal steel structures aims provide international forum broad classification technical papers steel structural research applications journal launched abbreviated title int steel strut journal aims reach researchers practicing engineers likely benefit published research results contributions research findings suitable practical applications especially welcome scope international journal steel structures encompasses limited following areas stability fatigue non linear behavior dynamics reliability design codes computer aided analysis design optimization expert systems connections fabrications maintenance bridges shore structures jetties stadiums transmission towers marine vessels storage tanks pressure vessels aerospace pipelines editorial boards international journal steel structures ijoss include chief editor year term regional chief editors year term international editorial board members year term guest editors invited organize ijoss special issues authority journal aims contribute solve mitigate global local problems collecting new ideas developments world,438
journal major thrusts clean technologies environmental policy unique journal covers place scientific enquiry technological innovations related inter dependent concerns concept sustainable development universally accepted means protecting environment mankind demands future manufacturing technologies cleaner economically sound clean technology thrust journal create international forum discussing science engineering technologies mathematical computer based methods models designing analyzing measuring cleanliness products processes reporting innovations wind solar renewable energy processes nuclear energy developments recycle reuse material energy repurposing wastes beneficial uses environmentally beneficial uses new materials nanomaterials energy storage devices additional aspect thrust involves management environmental systems ecosystems watersheds manufacturing networks environmental problems arise complex scientific technical economic public policy contexts consequently solutions require integration contexts environmental policy thrust journal cover advances research scientific social behavioral economics disciplines relevant complex environmental policy issues fields products processes manufacturing networks wastewater collection treatment air pollution control technologies hazardous toxic waste management fate transport contaminants environment environmental regulations compliance pollution prevention solid waste management conservation environmental protection journal provide forum experts different disciplines share common technical information offe opportunity multi disciplinary discourse science technology environmental policy lead development demonstration commercialization cleaner products processes effective environmental policy strategies examples unique features activities clean technologies environmental policy journal include policy oriented commentaries world renowned leaders environmental technology policy research special issues focusing specific topic international concern award best paper given periodically,439
la radiologia medica founded felice perussia peer reviewed journal official organ italian society medical radiology sirm journal intended medium communication results developments field radiology particularly advances diagnostic imaging allied sciences journal welcomes original contributions basic clinical aspects modern radiology therapy including diagnostic radiology interventional techniques special emphasis modern imaging techniques radiotherapy nuclear medicine radiobiology health physics distinguished editorial board selection reports published form original articles review articles editorials short communications letters editor render publication indispensable radiologists related specialists journal published monthly online english language journal aims forum international radiological community contributions coming authors working countries italy welcome journal visibility scientific community enhanced online edition available www springerlink com,443
international journal applied intelligence provides medium publishing scientific research technological achievements accomplished international community focus journal research advances new innovative intelligent systems methodologies applications solving real life complex problems areas research include natural language speech interfaces intelligent robotics learning methodologies intelligent decision support systems evolutionary computing genetic programming heuristic methods intelligent searching agents optimization neural networks mining data patterns cognitive interaction knowledge based reasoning modeling planning scheduling classification clustering computer vision fuzzy logic control games smart graphics fault diagnosis pattern recognition bio informatics uncertain information processes big data streaming data feature selection advances social network systems recommender systems use distributed parallel processing service personalization hot topics journal addresses issues involving research intelligent manufacturing privacy preserving systems risk analysis knowledge based management modern techniques improve health care systems methods assist government solving industrial problems complex solved conventional approaches integration multiple intelligent approaches solving complex real life problems particular importance emphasis reported research work new original innovative research technological developments reports application existing technologies different sets data researchers started addressing multidisciplinary real complex research solutions complex problems like line health care prediction systems communication speech automatic programming dynamic change prediction systems stock markets privacy risk analysis journal welcomes developments functions catalyst disseminating original innovative research technological achievements international community challenging research areas,442
applied nanoscience hybrid journal publishes original articles state art nanoscience application emerging nanotechnologies areas fundamental building technologically advanced sustainable civilization including areas diverse water science advanced materials energy electronics environmental science medicine accepts original review articles book reviews publication manuscripts single blind peer reviewed scientific quality acceptance broad research areas synthesis characterization nanomaterials quantum structure nanodevices modeling computations nanostructureareas related applications improved desalination water enhanced catalysis chemistry corrosion resistance materials monitoring nanodevices sensors renewable energy solar cells alternate energy sources storage enhanced oil recovery oil gas enhanced productivity oil gas developments deep drilling oil gas medical diagnosis drug delivery biotechnology electronic nanoelectronics photonic nanodevices nanophotonics micro electronics mechanical systems nano electro mechanical systems nanosystems applied nanoscience recently accepted science citation index expanded beginning onwards journal content indexed abstracted science citation index expanded known scisearch journal citation reports science edition current contents physical chemical earth sciences impact factor appear mid,451
